Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174439,9872,10547,12805,7478,12936,25220,23431,23540,19797,15011,10973,2829,68926,49197,39298,9899,2003,7896,19729,8566,11163,85994,82277,3717,68926,552,68374,40535,5130,35405,103729,8857,94872,27944,1740,26204
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113419,7705,7418,6736,4324,11159,13396,15479,16579,14163,8291,5895,2274,46640,30299,21760,8539,2464,6075,16341,6527,9814,54718,49804,4914,46640,1331,45309,25326,5586,19740,68545,12024,56521,16184,2471,13713
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81324,4551,5293,5243,3138,6618,11639,10730,11666,9784,6847,4471,1344,30714,21598,17179,4419,1385,3034,9116,4676,4440,36842,34574,2268,30714,20,30694,17540,3186,14354,48994,6944,42050,11807,1835,9972
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68515,4952,4320,4753,2682,4776,10604,8569,9888,8118,5254,3429,1170,24481,18327,13889,4438,1172,3266,6154,2534,3620,29704,27959,1745,24481,176,24305,16707,4856,11851,41955,9899,32056,9346,1279,8067
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78106,5127,5867,4644,3474,8347,10683,11888,10779,8608,4717,2783,1189,25360,18199,13587,4612,942,3670,7161,3185,3976,37041,34299,2742,25360,396,24964,19039,2504,16535,43727,4288,39439,7865,698,7167
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103303,6023,6828,6959,3952,8624,12728,14350,14211,12923,8441,5374,2890,41829,29012,22628,6384,1759,4625,12817,5297,7520,45913,42645,3268,41829,300,41529,23070,5348,17722,62675,8999,53676,15677,2213,13464
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98488,7135,6921,6390,4132,8124,12465,12733,14246,11516,7856,4994,1976,36881,24743,17800,6943,1786,5157,12138,5411,6727,47330,44282,3048,36881,317,36564,24226,5970,18256,58663,6677,51986,13950,1807,12143
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659503,45610,42685,43377,26319,62585,80646,89600,100283,79336,45178,30848,13036,264249,167928,112084,55844,9404,46440,96321,41921,54400,332138,309951,22187,264249,3435,260814,157190,30134,127056,403931,47829,356102,85729,8440,77289
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89128,4453,5813,4893,3186,10659,10607,10943,12724,10734,8195,5055,1866,37113,23622,18072,5550,1679,3871,13491,6535,6956,41963,39462,2501,37113,284,36829,18271,4443,13828,53943,9951,43992,14904,1948,12956
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133010,7885,8495,8089,5047,28856,18377,16695,16052,11848,6682,3577,1407,55986,32570,25060,7510,1902,5608,23416,11347,12069,65757,61939,3818,55986,886,55100,29333,2947,26386,87566,15348,72218,11666,1113,10553
"01083","05000US01083","Limestone County, Alabama","Limestone County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76135,4899,4573,5533,3090,6586,10891,11567,11184,8430,4991,3003,1388,25984,18406,15464,2942,778,2164,7578,3409,4169,35607,32606,3001,25984,200,25784,17928,2514,15414,46933,4310,42623,8988,1016,7972
"01089","05000US01089","Madison County, Alabama","Madison County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319510,20152,20375,22879,13882,32150,41258,43879,49172,35716,23131,12478,4438,127342,81144,62379,18765,3210,15555,46198,21723,24475,167921,156828,11093,127342,1648,125694,75363,12994,62369,195600,21024,174576,38821,2422,36399
"01095","05000US01095","Marshall County, Alabama","Marshall County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88484,7172,5984,6022,3916,6340,12515,11873,11981,9689,7252,3738,2002,32519,23355,18927,4428,1287,3141,9164,3936,5228,39790,38020,1770,32519,797,31722,23094,7263,15831,51987,8840,43147,12597,1862,10735
"01097","05000US01097","Mobile County, Alabama","Mobile County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406309,29909,29080,29128,18708,38300,53530,50683,60263,46737,26604,17499,5868,160153,107389,73659,33730,6863,26867,52764,24074,28690,193445,178309,15136,160153,2360,157793,103760,30260,73500,243670,38370,205300,48313,5680,42633
"01101","05000US01101","Montgomery County, Alabama","Montgomery County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224810,16634,17977,13112,9818,26411,27541,29477,31840,24984,13934,8930,4152,89106,55087,36178,18909,3912,14997,34019,12574,21445,108702,103089,5613,89106,1038,88068,56484,15701,40783,131761,17998,113763,26314,3322,22992
"01103","05000US01103","Morgan County, Alabama","Morgan County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115959,7616,7730,7511,4746,9826,13853,16459,17468,14051,9510,4813,2376,45520,31687,24985,6702,2051,4651,13833,6207,7626,59613,55229,4384,45520,723,44797,27377,4987,22390,70593,7501,63092,15901,1466,14435
"01115","05000US01115","St. Clair County, Alabama","St. Clair County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79577,5052,5773,5259,3864,6968,11775,11196,11546,8621,5441,2901,1181,27129,20527,14891,5636,1974,3662,6602,2400,4202,40466,37107,3359,27129,348,26781,19343,3162,16181,48451,5456,42995,8570,984,7586
"01117","05000US01117","Shelby County, Alabama","Shelby County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187784,14164,14202,13907,7721,16686,25281,29578,28072,21362,10262,4917,1632,69685,51143,44360,6783,1678,5105,18542,7949,10593,102703,98932,3771,69685,393,69292,49587,2203,47384,120120,4993,115127,16571,697,15874
