Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179878,11159,11207,11956,7120,13602,22686,23163,25771,22515,17380,9655,3664,74477,53855,43491,10364,2645,7719,20622,9109,11513,90378,82948,7430,74477,392,74085,41401,8992,32409,106604,13939,92665,29926,1618,28308
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114081,7804,8756,6311,3703,10632,15637,13674,16109,14228,9052,6620,1555,46535,30227,21667,8560,1893,6667,16308,7154,9154,51557,45402,6155,46535,527,46008,26574,7105,19469,68171,12812,55359,16822,1676,15146
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81778,5745,5581,4672,3174,6578,11952,10154,11472,9736,7101,4716,897,31055,22175,17269,4906,1390,3516,8880,4355,4525,38298,34754,3544,31055,357,30698,18855,5655,13200,49866,9742,40124,12222,1683,10539
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69380,5140,5101,5110,2665,4374,10861,8943,9564,7800,5518,3019,1285,24297,17843,14000,3843,757,3086,6454,2722,3732,30226,25963,4263,24297,332,23965,17761,6403,11358,41542,8244,33298,9279,1149,8130
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79233,5371,4995,6169,2691,7410,10626,11724,11674,8784,5932,1678,2179,24607,18497,14631,3866,974,2892,6110,3206,2904,35509,31819,3690,24607,169,24438,19174,4286,14888,45366,6248,39118,7928,953,6975
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103645,6179,6951,6594,4221,8315,14084,12681,14469,13445,8942,5785,1979,41422,28925,21205,7720,2275,5445,12497,4974,7523,46224,40505,5719,41422,606,40816,23642,5920,17722,61681,9132,52549,15426,1592,13834
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100085,6970,7302,6186,4059,8152,12868,12929,14196,11738,8271,5306,2108,37359,26065,19329,6736,1311,5425,11294,4618,6676,45128,41206,3922,37359,537,36822,24355,6525,17830,59478,9320,50158,14710,1703,13007
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665027,46914,42764,41725,26085,60485,98521,85051,96526,77066,44501,31526,13863,270513,171751,111928,59823,11780,48043,98762,42823,55939,334265,299837,34428,270513,3720,266793,155306,36469,118837,408350,61792,346558,85379,8545,76834
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89599,4476,5302,5473,3647,8777,11523,11507,12634,11362,8062,5594,1242,36730,24466,19436,5030,995,4035,12264,5316,6948,40713,35582,5131,36730,587,36143,18735,3241,15494,54347,7171,47176,14658,821,13837
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135883,8255,7979,8042,5221,33410,15482,17163,16057,12519,6684,3737,1334,56150,30300,21621,8679,1557,7122,25850,12965,12885,67649,59278,8371,56150,430,55720,28717,6451,22266,90206,20897,69309,11755,976,10779
"01083","05000US01083","Limestone County, Alabama","Limestone County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78572,4326,5487,5929,3175,6138,10795,11928,12086,9191,5351,3245,921,26522,19277,14221,5056,1108,3948,7245,3295,3950,36616,31983,4633,26522,193,26329,18917,3583,15334,46730,5280,41450,9024,1266,7758
"01089","05000US01089","Madison County, Alabama","Madison County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327744,21010,22603,21197,13640,32909,43863,44704,51299,35234,22964,14943,3378,128729,86567,65726,20841,3972,16869,42162,20147,22015,172651,156113,16538,128729,1544,127185,77698,10696,67002,199971,18083,181888,40038,2915,37123
"01095","05000US01095","Marshall County, Alabama","Marshall County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90399,7814,6061,6365,3873,7247,11161,11353,12744,10710,7330,4247,1494,32651,22131,17005,5126,1452,3674,10520,4138,6382,40927,36291,4636,32651,1111,31540,23833,6128,17705,52761,9700,43061,12729,2119,10610
"01097","05000US01097","Mobile County, Alabama","Mobile County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411721,30459,29982,27905,18148,39218,58530,50589,58741,46584,28038,17280,6247,162613,112277,73845,38432,7211,31221,50336,23658,26678,198519,175204,23315,162613,2808,159805,105428,28318,77110,249155,41070,208085,50158,5171,44987
"01101","05000US01101","Montgomery County, Alabama","Montgomery County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224119,16376,13652,16717,9264,25871,33180,28102,30347,23382,13823,10212,3193,89732,57212,34477,22735,3704,19031,32520,15337,17183,108759,98561,10198,89732,2053,87679,55218,16217,39001,132545,23370,109175,26116,2228,23888
"01103","05000US01103","Morgan County, Alabama","Morgan County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117293,7591,8996,7391,4891,8850,15085,15606,17830,14336,9156,5450,2111,46465,33099,23818,9281,3330,5951,13366,6016,7350,55312,47883,7429,46465,610,45855,28636,7859,20777,70337,9311,61026,16207,2333,13874
"01115","05000US01115","St. Clair County, Alabama","St. Clair County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81895,6047,5999,4732,3014,6487,11472,10448,12792,10403,6210,3402,889,29182,21370,16156,5214,1582,3632,7812,3731,4081,38289,33187,5102,29182,513,28669,19714,3453,16261,49079,6126,42953,10458,1440,9018
"01117","05000US01117","Shelby County, Alabama","Shelby County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192503,14069,13679,14625,7956,14841,28195,30414,28690,21597,11399,5733,1305,74004,54911,45682,9229,2496,6733,19093,8438,10655,102250,96054,6196,74004,1246,72758,50013,4161,45852,121497,6434,115063,17958,1109,16849
"01121","05000US01121","Talladega County, Alabama","Talladega County, Alabama","al","050","00","ACSSF","0000031",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80242,5033,4652,5908,3229,7402,9242,11815,11441,9981,6840,3250,1449,31191,21429,15086,6343,1598,4745,9762,4746,5016,36628,31779,4849,31191,677,30514,18668,4404,14264,47299,7406,39893,11207,1753,9454
"01125","05000US01125","Tuscaloosa County, Alabama","Tuscaloosa County, Alabama","al","050","00","ACSSF","0000032",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184035,12375,12267,10217,6739,35136,22966,21479,23457,19392,10470,7330,2207,67914,43028,29025,14003,2677,11326,24886,10551,14335,85605,79258,6347,67914,2190,65724,40426,9663,30763,116363,25005,91358,19792,1137,18655
"01127","05000US01127","Walker County, Alabama","Walker County, Alabama","al","050","00","ACSSF","0000033",,,,,"01","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68742,4258,4153,4541,2544,5129,8808,8992,9772,9254,6167,3596,1528,29251,19481,14308,5173,612,4561,9770,4490,5280,31891,27982,3909,29251,312,28939,14948,3019,11929,41586,5425,36161,10795,1563,9232
"02020","05000US02020","Anchorage Municipality, Alaska","Anchorage Municipality, Alaska","ak","050","00","ACSSF","0000010",,,,,"02","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286174,22441,16917,22465,12221,34042,46156,38407,42840,30211,12857,5768,1849,104556,69693,50928,18765,5687,13078,34863,16728,18135,157315,145373,11942,104556,6872,97684,73522,8137,65385,188047,12587,175460,20205,718,19487
"02090","05000US02090","Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska","ak","050","00","ACSSF","0000011",,,,,"02","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98660,8599,6718,6000,4323,16010,16595,11126,13682,9765,3524,1873,445,31169,21727,17464,4263,979,3284,9442,5261,4181,50371,47321,3050,31169,1321,29848,25037,2734,22303,62213,4490,57723,5702,43,5659
"02170","05000US02170","Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska","ak","050","00","ACSSF","0000012",,,,,"02","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88379,7039,5799,7457,4475,10629,10174,12361,13563,9684,4278,2670,250,22262,16246,13589,2657,1026,1631,6016,3408,2608,41875,35531,6344,22262,1474,20788,23794,2699,21095,55476,4573,50903,7152,245,6907
"04001","05000US04001","Apache County, Arizona","Apache County, Arizona","az","050","00","ACSSF","0000013",,,,,"04","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70591,6290,5217,6438,4678,8497,7574,7981,8508,7621,4312,2637,838,19026,13036,7857,5179,1309,3870,5990,2973,3017,23116,18210,4906,19026,1780,17246,22563,10202,12361,39370,12658,26712,7787,2551,5236
